date,clicks,conversions,cost,industry,customer,publisher,target_cpa
2020-01-04,54,5,53.62,Y,3,A,25
2020-01-05,3,0,2.93,Y,3,E,25
2020-01-06,264,19,164.16,U,2,C,25
2020-01-06,308,22,297.94,Y,3,A,25
2020-01-06,3,0,0.6,U,2,A,25
2020-01-07,19,2,10.27,V,4,F,35
2020-01-07,2,0,1.99,V,4,H,35
2020-01-08,157,1,80.46,U,5,C,25
2020-01-09,160,11,227.94,Y,3,A,25
2020-01-11,3,3,4.5,Y,3,B,25
2020-01-11,3,1,3.39,W,1,C,40
2020-01-12,266,7,208.71,U,2,B,25
2020-01-13,305,11,233.97,U,2,B,25
2020-01-13,696,15,763.32,U,5,A,25
2020-01-14,320,15,255.48,U,2,B,25
2019-10-16,8,0,7.49,T,6,C,25
2019-10-19,2,0,1.35,T,7,B,15
2019-10-23,15,1,13.21,T,6,C,25
2019-11-19,16,8,15.19,T,6,E,25
2019-11-28,17,1,10.32,U,2,C,25
2019-11-27,1,0,0.03,T,7,B,15
2019-12-08,7,0,6.52,T,6,B,25
2019-12-09,16,0,14.96,T,6,C,25
2019-12-11,8,5,6.05,W,1,D,40
2019-12-11,5,0,2.89,V,4,E,35
2020-01-01,1,0,1.18,W,1,E,40
2020-01-06,8,1,5.5,V,4,F,35
2020-01-10,2,1,1.29,V,4,F,35
2019-10-20,1,0,0.78,U,2,C,25
2019-10-22,6,0,3.46,W,1,D,40
2019-11-22,2,6,2.04,U,2,C,25
2019-11-24,2,1,1.91,T,6,E,25
2019-12-05,2,4,1.98,T,6,E,25
2019-12-06,2,3,1.95,T,6,E,25
2019-12-10,2,0,1.55,V,4,E,35
2019-12-18,2,0,1.7,U,2,E,25
2019-12-16,5,0,5.61,W,1,H,40
2019-12-14,1,3,0.99,T,6,E,25
2019-12-26,3,0,1.27,U,2,E,25
2019-11-27,510,17,358.59,W,1,E,40
2019-11-27,153,3,145.06,T,6,B,25
2019-11-27,113,0,78.85,V,4,B,35
2019-11-28,89,10,158.95,Y,3,A,25
2019-11-29,161,8,144.03,T,6,C,25
2019-11-29,6,0,5.49,Y,3,E,25
2019-11-30,266,3,134.69,V,4,C,35
2019-11-30,67,0,40.18,U,2,B,25
2019-12-01,483,15,411.56,W,1,B,40
2019-12-02,6099,155,3311.62,W,1,C,40
2019-12-02,444,17,460.1,V,4,A,35
2019-12-03,448,22,840.46,Y,3,A,25
2019-12-03,11,6,6.56,W,1,D,40
2019-12-04,865,29,732.01,W,1,B,40
2019-12-04,100,14,90.85,T,6,C,25
2019-12-04,15,2,11.05,V,4,E,35
2019-12-05,348,19,234.2,W,1,E,40
2019-12-05,33,0,42.33,W,1,H,40
2019-12-06,637,15,601.16,W,1,B,40
2019-12-06,10,3,9.5,T,6,B,25
2019-12-07,129,1,48.06,V,4,C,35
2019-12-07,29,3,23.48,Y,3,C,25
2019-12-07,15,7,13.83,T,6,A,25
2019-12-08,1096,22,1107.25,W,1,B,40
2019-12-09,223,1,275.43,Y,3,C,25
2019-12-09,267,23,345.29,V,4,A,35
2019-12-09,11,0,13.11,Y,3,B,25
2019-12-10,335,8,137.52,V,4,C,35
2019-12-10,216,8,153.56,U,2,B,25
2019-12-11,2721,84,1637.23,W,1,C,40
2019-12-11,190,5,155.42,U,2,B,25
